jpg,No,ユニット名,レア,BP,属性,HP,攻撃,防御,速度,総合,スキル,スキル説明,UF,UF説明,タクティクス1,タクティクス1説明,タクティクス2,タクティクス2説明,特性,サポート効果
1208.jpg,1208,アドリエンヌ,SSR,12,遠,"14,577","5,842","4,836",S-,"25,255",治癒の一撃／真,単体固定ダメージ[中]+味方状態異常解除,-,　,リヴァイブ／真遠翠,高確率で遠属性のユニットを復帰,-,　,-,-
1211.jpg,1211,パメラ,SSR,13,斬,"16,198","7,451","4,952",A+,"28,601",焔幻の一閃／絶,横一列に攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1212.jpg,1212,ジャマル,SSR,13,斬,"17,818","6,949","4,981",A+,"29,748",挑発の舞踏／真,一定確率で敵の攻撃を引き付ける[高確率],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1214.jpg,1214,ミミ,SSR,12,遠,"17,929","5,308","4,349",S-,"27,586",遠翠の聖護,味方遠属性の防御力をUP[大],-,　,ヒール／真遠翠,遠属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1216.jpg,1216,ニルス,SSR,13,斬,"14,721","7,163","5,115",S+,"26,999",破岩の縦十字／絶,十字型に固定ダメージ[大],-,　,リヴァイブ／真斬紅,高確率で斬属性のユニットを復帰,-,　,-,-
1218.jpg,1218,バルトハウザー,SSR,13,突,"16,382","5,747","5,856",SS-,"27,985",蒼突の聖天,味方突属性の攻撃力と防御力をUP[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1220.jpg,1220,ルイーゼ,SSR,13,打,"18,302","5,802","6,538",S-,"30,642",幻光の交叉線／絶,X字型に攻撃[大],-,　,ヒール／真紫打,打属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1222.jpg,1222,ノンノリア,SSR,13,遠,"16,747","5,844","5,100",S-,"27,691",幻射の五連撃,ランダムで5連続攻撃[小],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1227.jpg,1227,ラウジー,SSR,12,打,"19,343","5,498","6,016",A-,"30,857",魔幻の閃光／絶,縦一列に攻撃[大],-,　,リヴァイブ／真,中確率で戦闘不能ユニットを復帰,-,　,-,-
1228.jpg,1228,ミリアン,SSR,12,突,"18,549","4,682","5,280",SS-,"28,511",叡智消滅／光芒,敵全体の攻撃力と防御力をDOWN[中],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1230.jpg,1230,キアラ,SSR,12,打,"16,931","5,470","6,945",A-,"29,346",沈黙の言霊／絶,一定確率で敵を沈黙状態にする[高確率],-,　,リヴァイブ／真紫打,高確率で打属性のユニットを復帰,-,　,-,-
1232.jpg,1232,フェルナンド,SSR,13,斬,"15,733","7,237","5,354",A+,"28,324",斬紅の覇道,味方斬属性の攻撃力をUP[大],-,　,フォートレスオーダー,騎士団全体の防御力が小UP(3分間),-,　,-,-
1234.jpg,1234,レオン,SSR,13,斬,"15,818","7,273","5,324",A+,"28,415",魔幻の閃光／絶,縦一列に攻撃[大],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1236.jpg,1236,アーデルハイド,SSR,13,突,"15,867","5,425","6,445",SS-,"27,737",幻神の五連撃／真,ランダムで5連続攻撃[中],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1238.jpg,1238,モーリス,SSR,13,打,"19,460","5,768","6,951",A-,"32,179",幻光の交叉線／絶,X字型に攻撃[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1239.jpg,1239,ベルトラン,SSR,12,打,"17,665","4,916","7,439",A-,"30,020",紫打の聖護,味方打属性の防御力をUP[大],-,　,リヴァイブ／真紫打,高確率で打属性のユニットを復帰,-,　,-,-
1241.jpg,1241,アリア,SSR,13,斬,"14,484","7,651","5,543",A+,"27,678",斬紅の聖天,味方斬属性の攻撃力と防御力をUP[大],-,　,キャッスルヴェール,城の強度Lvが小UP(3分間),-,　,-,-
1243.jpg,1243,デフロット,SSR,13,突,"15,954","5,453","6,414",SS-,"27,821",覇道消滅／光芒,敵全体の攻撃力をDOWN[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1245.jpg,1245,マリー,SSR,13,打,"17,819","6,004","7,310",A-,"31,133",対紅の薙風／絶,斬に強く突に弱い横一列攻撃[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1247.jpg,1247,マーヴェル,SSR,13,遠,"15,922","6,551","4,797",S-,"27,270",遠翠の略奪／絶,敵単体に攻撃しつつHP回復[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1250.jpg,1250,エメーリエ,SSR,12,斬,"13,985","6,432","5,494",A+,"25,911",斬紅の業火／真,次の攻撃でダメージが上昇する[中],-,　,ヒール／真,生存ユニットのHPを中回復,-,　,-,-
1251.jpg,1251,ソフィ,SSR,13,突,"18,420","4,775","6,380",SS-,"29,575",幻神の四連撃／真,ランダムで4連続攻撃[中],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1252.jpg,1252,デジレ,SSR,13,遠,"16,006","6,584","4,772",S-,"27,362",対蒼の突風／絶,突に強く斬に弱い縦一列攻撃[大],-,　,ヒール／真遠翠,遠属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1254.jpg,1254,コレット,SSR,12,突,"17,683","5,264","5,006",SS-,"27,953",蒼突の叡智 ,味方突属性の攻撃力と防御力をUP[中],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1257.jpg,1257,ノエル,SSR,12,斬,"15,557","6,229","5,129",A+,"26,915",幻氷の縦十字／絶,十字型に攻撃[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1260.jpg,1260,ノンノリア,SSR,12,遠,"16,170","5,644","4,572",S-,"26,386",遠翠の覇道,味方遠属性の攻撃力をUP[大],-,　,キャッスルヴェール,城の強度Lvが小UP(3分間),-,　,-,-
1261.jpg,1261,ノンノリア,SSR,13,遠,"17,020","5,940","5,021",S-,"27,981",遠翠の覇道,味方遠属性の攻撃力をUP[大],-,　,キャッスルヴェール,城の強度Lvが小UP(3分間),-,　,-,-
1265.jpg,1265,エミリア,SSR,13,斬,"15,272","7,433","4,928",S+,"27,633",癒やしの光／絶,最もダメージが多い味方1人のHP回復[大],-,　,ハイド／真,攻撃される確率が中DOWN(3分間),-,　,-,-
1267.jpg,1267,オフェリー,SSR,13,突,"16,739","5,272","5,735",SS1,"27,746",強奪者の雷／絶,単体攻撃（宝箱優先／追加ダメージ）[大],-,　,ヒール／真蒼突,突属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1269.jpg,1269,アネッタ,SSR,13,打,"18,696","6,331","6,678",A-,"31,705",焔幻の一閃／絶,横一列に攻撃[大],-,　,プロヴォーク／真,攻撃される確率が中UP(3分間),-,　,-,-
1271.jpg,1271,リシャール,SSR,13,遠,"17,903","6,249","4,550",S-,"28,702",対紫の突風／絶,打に強く遠に弱い縦一列攻撃[大],-,　,ヒール／絶,生存ユニットのHPを大回復,-,　,-,-
1272.jpg,1272,フレイ,SSR,13,突,"18,617","5,543","5,497",SS-,"29,657",幻神の六連撃,ランダムで6連続攻撃[小],-,　,ポイントライズ,獲得する騎士団戦スコアが小アップ(バトル3回),-,　,-,-
1273.jpg,1273,ヴィヴィアン,SSR,12,斬,"14,133","6,880","4,611",S+,"25,624",破岩の縦十字／絶,十字型に固定ダメージ[大],-,　,リヴァイブ／真斬紅,高確率で斬属性のユニットを復帰,-,　,-,-
1274.jpg,1274,ウィル,SSR,13,遠,"17,996","6,280","4,526",S-,"28,802",治癒の一撃／真,単体固定ダメージ[中]+味方状態異常解除,-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1276.jpg,1276,ギーヴ,SSR,12,遠,"18,119","5,364","4,302",S-,"27,785",光芒の叡智,味方全体の攻撃力と防御力をUP[中],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1278.jpg,1278,ダリューン,SSR,13,突,"16,915","5,934","5,675",SS-,"28,524",地幻神の四連撃／真,ランダム4連続攻撃[中]自分の防御力UP[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1279.jpg,1279,ナルサス,SSR,13,斬,"16,987","6,799","5,425",A+,"29,211",天魔幻の閃光／絶,縦一列攻撃[大]自分の攻撃力UP[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1280.jpg,1280,ファランギース,SSR,13,遠,"18,093","5,497","5,174",S-,"28,764",幻射の五連撃／真,ランダムで5連続攻撃[中],-,　,リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,　,-,-
1286.jpg,1286,ショコラ,SSR,12,遠,"16,338","5,703","4,527",S-,"26,568",天使の微笑／真,味方全員のHPを回復[中],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1288.jpg,1288,ジェロム,SSR,13,斬,"15,430","7,095","5,747",A+,"28,272",焔幻の一閃／絶,横一列に攻撃[大],-,　,ヒール／真斬紅,斬属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1290.jpg,1290,ユージーン,SSR,13,突,"18,813","5,601","5,440",SS-,"29,854",地焔幻の一閃／絶,横一列攻撃[大]自分の防御力UP[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1292.jpg,1292,ルフェーヴル,SSR,13,打,"18,598","5,713","6,644",S-,"30,955",紫打の覇道,味方打属性の攻撃力をUP[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1294.jpg,1294,デュポワ,SSR,13,遠,"15,834","6,345","5,146",S-,"27,325",強奪者の雷／絶,単体攻撃（宝箱優先／追加ダメージ）[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1295.jpg,1295,マリユス,SSR,13,斬,"14,940","7,892","5,367",A+,"28,199",天幻氷の縦十字／絶,十字型攻撃[大]自分の攻撃力UP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1298.jpg,1298,カオル,SSR,13,遠,"16,522","6,797","4,626",S-,"27,945",天幻射の四連撃／真,ランダム4連続攻撃[中]自分の攻撃力UP[中],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1299.jpg,1299,チヨ,SSR,13,斬,"14,799","7,203","5,087",S+,"27,089",対紅の突風／絶,斬に強く突に弱い縦一列攻撃[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1301.jpg,1301,ヴァルナル,SSR,13,斬,"15,668","7,624","4,798",S+,"28,090",地幻氷の縦十字／絶,十字型攻撃[大]自分の防御力UP[大],-,　,プロヴォーク／真,攻撃される確率が中UP(3分間),-,　,-,-
1303.jpg,1303,レティシア,SSR,13,突,"18,913","5,629","5,410",SS-,"29,952",聖護消滅／光芒,敵全体の防御力をDOWN[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1305.jpg,1305,アーロン,SSR,13,打,"20,794","5,147","7,427",A-,"33,368",破雫の交叉線／絶,X字型に固定ダメージ[大],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1307.jpg,1307,コルン,SSR,13,遠,"16,607","5,797","5,424",S-,"27,828",幻射の四連撃／真,ランダムで4連続攻撃[中],-,　,ハイド／真,攻撃される確率が中DOWN(3分間),-,　,-,-
1311.jpg,1311,デュプリ,SSR,12,突,"16,727","4,978","5,554",SS-,"27,259",孤撃の言霊／絶,一定確率で敵を範囲不可にする[高確率],-,　,ヒール／真蒼突,突属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1312.jpg,1312,ジャンヌ,SSR,13,突,"19,009","5,660","5,380",SS-,"30,049",破天の四連撃／真,ランダムで4連固定ダメージ[中],-,　,アサルト,パーティ全体の攻撃力が小UP(3分間),-,　,-,-
1314.jpg,1314,カノン,SSR,13,打,"22,270","5,314","6,746",A-,"34,330",対翠の薙風／絶,遠に強く打に弱い横一列攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1315.jpg,1315,デフロット,SSR,12,突,"16,066","5,061","5,168",SS1,"26,295",蒼突の追撃／真,味方の攻撃に一定確率で追撃[高確率],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1318.jpg,1318,マリエル,SSR,12,斬,"15,025","6,908","4,850",A+,"26,783",魔幻の閃光／絶,縦一列に攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1319.jpg,1319,マリエル,SSR,13,斬,"16,068","7,389","5,242",A+,"28,699",魔幻の閃光／絶,縦一列に攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1320.jpg,1320,マリエル,UR,14,斬,"17,550","8,070","6,226",S,"31,846",魔幻の閃光／煌,縦一列に攻撃[特大],-,　,エース／絶,パーティ全体の攻・防が大UP(3分間),-,　,-,-
1321.jpg,1321,アデリーナ,SSR,13,遠,"16,695","6,165","4,577",SS-,"27,437",天幻射の五連撃,ランダム5連続攻撃[小]自分の攻撃力UP[小],-,　,アサルト,パーティ全体の攻撃力が小UP(3分間),-,　,-,-
1323.jpg,1323,ベアトリス,SSR,13,斬,"17,249","6,904","5,336",A+,"29,489",強奪者の雷／絶,単体攻撃（宝箱優先／追加ダメージ）[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1325.jpg,1325,グレアム,SSR,13,突,"17,270","5,140","6,551",SS-,"28,961",天幻神の四連撃／真 ,ランダム4連続攻撃[中]自分の攻撃力UP[中],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1327.jpg,1327,ロジェ,SSR,13,打,"21,014","5,849","6,535",A-,"33,398",天幻光の交叉線／絶,X字型攻撃[大]自分の攻撃力UP[大],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
